uuid,tstamp,source,date,event_type,event_category,event_action,event_label,event_value,created_at,last_updated_at,location,id
01f20010a07b4cb4ae8eef31a8239a6d,2018-03-06 20:35:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/login/?next=/m/ffa03984-ced9-47f9-82db-6cdc866405e8/,12,2018-03-15 13:29:37,2018-03-15 13:29:37,/login/?next=/m/ffa03984-ced9-47f9-82db-6cdc866405e8/,1
01f20010a07b4cb4ae8eef31a8239a6d,2018-03-06 20:35:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/m/ffa03984-ced9-47f9-82db-6cdc866405e8/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/m/ffa03984-ced9-47f9-82db-6cdc866405e8/,2
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:51:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,9,2018-03-15 13:29:37,2018-03-15 13:29:37,/,3
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:45:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/,4
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:47:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,527,2018-03-15 13:29:37,2018-03-15 13:29:37,/,5
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:25:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,23,2018-03-15 13:29:37,2018-03-15 13:29:37,/,6
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:26:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,296,2018-03-15 13:29:37,2018-03-15 13:29:37,/,7
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:32:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,12,2018-03-15 13:29:37,2018-03-15 13:29:37,/,8
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:34:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/,9
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:35:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,13,2018-03-15 13:29:37,2018-03-15 13:29:37,/,10
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:36:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/,20,2018-03-15 13:29:37,2018-03-15 13:29:37,/,11
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 20:05:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/,5,2018-03-15 13:29:37,2018-03-15 13:29:37,/,12
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:35:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,7,2018-03-15 13:29:37,2018-03-15 13:29:37,/,13
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:47:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,3,2018-03-15 13:29:37,2018-03-15 13:29:37,/,14
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-07 10:56:00,ga_pages,2018-03-07,event,app.meetnotes.co,view,/,7,2018-03-15 13:29:37,2018-03-15 13:29:37,/,15
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-09 10:57:00,ga_pages,2018-03-09,event,app.meetnotes.co,view,/,7,2018-03-15 13:29:37,2018-03-15 13:29:37,/,16
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:39:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/+attachment,157,2018-03-15 13:29:37,2018-03-15 13:29:37,/+attachment,18
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:45:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/+createnote,11,2018-03-15 13:29:37,2018-03-15 13:29:37,/+createnote,19
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 11:45:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/+invite/,32,2018-03-15 13:29:37,2018-03-15 13:29:37,/+invite/,20
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:31:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/+share/email,15,2018-03-15 13:29:37,2018-03-15 13:29:37,/+share/email,21
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 10:51:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/action-items/,7,2018-03-15 13:29:37,2018-03-15 13:29:37,/action-items/,22
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 14:25:00,ga_pages,2018-03-05,event,app.meetnotes.co,view,/action-items/,14,2018-03-15 13:29:37,2018-03-15 13:29:37,/action-items/,23
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 20:05:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/action-items/,100,2018-03-15 13:29:37,2018-03-15 13:29:37,/action-items/,24
0215bef6f0d6414b8fad23b6fbf7b225,2018-03-05 20:06:00,ga_pages,2018-03-06,event,app.meetnotes.co,view,/action-items/,75,2018-03-15 13:29:37,2018-03-15 13:29:37,/action-items/,25
